ID	Team	Country	NameF	NameL
1	Women	Canada	Meghan	Agosta
2	Women	Canada	Rebecca	Johnston
3	Women	Canada	Laura	Stacey
4	Women	Canada	Jennifer	Wakefield
5	Women	Canada	Jillian	Saulnier
6	Women	Canada	Mélodie	Daoust
7	Women	Canada	Bailey	Bram
8	Women	Canada	Brianne	Jenner
9	Women	Canada	Sarah	Nurse
10	Women	Canada	Haley	Irwin
11	Women	Canada	Natalie	Spooner
12	Women	Canada	Emily	Clark
13	Women	Canada	Marie-Philip	Poulin
14	Women	Canada	Blayre	Turnbull
15	Women	Canada	Jocelyne	Larocque
16	Women	Canada	Brigette	Lacquette
17	Women	Canada	Lauriane	Rougeau
18	Women	Canada	Laura	Fortino
19	Women	Canada	Meaghan	Mikkelson
20	Women	Canada	Renata	Fast
21	Women	Canada	Shannon	Szabados
22	Women	Canada	Geneviève	Lacasse
23	Women	Canada	Ann-Renée	Desbiens
24	Men	Canada	Gilbert	Brulé
25	Men	Canada	Wojtek	Wolski
26	Men	Canada	Derek	Roy
27	Men	Canada	Chris	Kelly
28	Men	Canada	Rob	Klinkhammer
29	Men	Canada	Brandon	Kozun
30	Men	Canada	Quinton	Howden
31	Men	Canada	René	Bourque
32	Men	Canada	Andrew	Ebbett
33	Men	Canada	Mason	Raymond
34	Men	Canada	Eric	O’Dell
35	Men	Canada	Maxim	Lapierre
36	Men	Canada	Linden	Vey
37	Men	Canada	Christian	Thomas
38	Men	Canada	Karl	Stollery
39	Men	Canada	Chris	Lee
40	Men	Canada	Chay	Genoway
41	Men	Canada	Marc-Andre	Gragnani
42	Men	Canada	Stefan	Elliott
43	Men	Canada	Cody	Goloubef
44	Men	Canada	Mat	Robinson
45	Men	Canada	Maxim	Noreau
46	Men	Canada	Ben	Scrivens
47	Men	Canada	Kevin	Poulin
48	Men	Canada	Justin	Peters
49	Women	USA	Cayla	Barnes
50	Women	USA	Kacey	Bellamy
51	Women	USA	Hannah	Brandt
52	Women	USA	Dani	Cameranesi
53	Women	USA	Kendall	Coyne
54	Women	USA	Brianna	Decker
55	Women	USA	Meghan	Duggan
56	Women	USA	Kali	Flanagan
57	Women	USA	Nicole	Hensley
58	Women	USA	Megan	Keller
59	Women	USA	Amanda	Kessel
60	Women	USA	Hilary	Knight
61	Women	USA	Jocelyne	Lamoureux-Davidson
62	Women	USA	Monique	Lamoureux-Morando
63	Women	USA	Gigi	Marvin
64	Women	USA	Sidney	Morin
65	Women	USA	Kelly	Pannek
66	Women	USA	Amanda	Pelkey
67	Women	USA	Emily	Pfalzer
68	Women	USA	Alex	Rigsby
69	Women	USA	Maddie	Rooney
70	Women	USA	Haley	Skarupa
71	Women	USA	Lee	Stecklein
72	Men	USA	Mark	Arcobello
73	Men	USA	Chad	Billins
74	Men	USA	Jonathan	Blum
75	Men	USA	Will	Borgen
76	Men	USA	Chris	Bourque
77	Men	USA	Bobby	Butler
78	Men	USA	Ryan	Donato
79	Men	USA	Matt	Gilroy
80	Men	USA	Brian	Gionta
81	Men	USA	Jordan	Greenway
82	Men	USA	Ryan	Gunderson
83	Men	USA	Chad	Kolarik
84	Men	USA	David	Leggio
85	Men	USA	Broc	Little
86	Men	USA	Brandon	Maxwell
87	Men	USA	John	McCarthy
88	Men	USA	Brian	O'Neill
89	Men	USA	Garrett	Roe
90	Men	USA	Bobby	Sanguinetti
91	Men	USA	Jim	Slater
92	Men	USA	Ryan	Stoa
93	Men	USA	Troy	Terry
94	Men	USA	Noah	Welch
95	Men	USA	James	Wisniewski
96	Men	USA	Ryan	Zapolski
