TeamID	TeamName	TeamAbbr	Location
1	GoldenStateWarriors	GSW	Oakland/California
2	HoustonRockets	HOU	Houston/Texas
3	NewOrleansPelicans	NOP	NewOrleans/Louisiana
4	TorontoRaptors	TOR	Toronto/Ontario
5	ClevelandCavaliers	CLE	Cleveland/Ohio
6	DenverNuggets	DEN	Denver/Colorado
7	Philadelphia76ers	PHI	Philadelphia/Pennsylvania
8	MinnesotaTimberwolves	MIN	Minneapolis/Minnesota
9	LosAngelesClippers	LAC	LosAngeles/California
10	CharlotteHornets	CHO	Charlotte/NorthCarolina
11	LosAngelesLakers	LAL	LosAngeles/California
12	OklahomaCityThunder	OKC	OklahomaCity/Oklahoma
13	WashingtonWizards	WAS	Washington/DC
14	BrooklynNets	BRK	Brooklyn/NewYork
15	MilwaukeeBucks	MIL	Milwaukee/Wisconsin
16	PortlandTrailBlazers	POR	Portland/Oregon
17	IndianaPacers	IND	Indianapolis/Indiana
18	NewYorkKnicks	NYK	NewYork/NewYork
19	UtahJazz	UTA	SaltLakeCity/Utah
20	BostonCeltics	BOS	Boston/Massachusetts
21	PhoenixSuns	PHO	Phoenix/Arizona
22	DetroitPistons	DET	Detroit/Michigan
23	MiamiHeat	MIA	Miami/Florida
24	OrlandoMagic	ORL	Orlando/Florida
25	AtlantaHawks	ATL	Atlanta/Georgia
26	ChicagoBulls	CHI	Chicago/Illinois
27	SanAntonioSpurs	SAS	SanAntonio/Texas
28	DallasMavericks	DAL	Dallas/Texas
29	MemphisGrizzlies	MEM	Memphis/Tennesee
30	SacramentoKings	SAC	Sacramento/California
			
